region,type,elasticity,std_err,r_squared,p_value,ci_lower,ci_upper,interpretation,n_obs
Albany,conventional,0.0673,0.1545,0.0011,0.663959,-0.2378,0.3723,inelastic,169
Albany,organic,-2.2893,0.2823,0.2826,0.0,-2.8466,-1.732,elastic,169
Atlanta,conventional,-0.7216,0.0813,0.3208,0.0,-0.882,-0.5612,inelastic,169
Atlanta,organic,-0.9592,0.1532,0.1902,0.0,-1.2616,-0.6569,unit_elastic,169
BaltimoreWashington,conventional,-0.5605,0.0691,0.2826,0.0,-0.697,-0.4241,inelastic,169
BaltimoreWashington,organic,-0.6624,0.2734,0.034,0.016459,-1.2021,-0.1227,inelastic,169
Boise,conventional,-0.4198,0.0703,0.1758,0.0,-0.5587,-0.2809,inelastic,169
Boise,organic,-0.9774,0.103,0.3503,0.0,-1.1808,-0.7741,unit_elastic,169
Boston,conventional,-0.4098,0.0812,0.1323,1e-06,-0.5701,-0.2494,inelastic,169
Boston,organic,-0.5297,0.4108,0.0099,0.198969,-1.3407,0.2812,inelastic,169
BuffaloRochester,conventional,-1.1397,0.165,0.2222,0.0,-1.4655,-0.814,elastic,169
BuffaloRochester,organic,-1.801,0.3028,0.1748,0.0,-2.3988,-1.2031,elastic,169
Charlotte,conventional,-0.2688,0.0957,0.0451,0.005581,-0.4578,-0.0798,inelastic,169
Charlotte,organic,-0.5421,0.2542,0.0265,0.03443,-1.0441,-0.0402,inelastic,169
Chicago,conventional,-0.6287,0.0523,0.464,0.0,-0.7319,-0.5255,inelastic,169
Chicago,organic,-0.4639,0.2287,0.024,0.044097,-0.9154,-0.0124,inelastic,169
CincinnatiDayton,conventional,-0.4961,0.067,0.247,0.0,-0.6284,-0.3637,inelastic,169
CincinnatiDayton,organic,-0.8974,0.0807,0.4252,0.0,-1.0567,-0.738,inelastic,169
Columbus,conventional,-0.845,0.0884,0.3538,0.0,-1.0195,-0.6705,inelastic,169
Columbus,organic,-1.3814,0.1415,0.3632,0.0,-1.6609,-1.102,elastic,169
DallasFtWorth,conventional,-0.5798,0.0678,0.3043,0.0,-0.7137,-0.4459,inelastic,169
DallasFtWorth,organic,-1.1249,0.1929,0.1691,0.0,-1.5058,-0.744,elastic,169
Denver,conventional,-0.7865,0.0576,0.5278,0.0,-0.9002,-0.6729,inelastic,169
Denver,organic,-1.5554,0.1039,0.573,0.0,-1.7605,-1.3503,elastic,169
Detroit,conventional,-1.1006,0.0727,0.5783,0.0,-1.2442,-0.957,elastic,169
Detroit,organic,-1.2921,0.1093,0.4557,0.0,-1.5078,-1.0763,elastic,169
GrandRapids,conventional,-1.0117,0.0656,0.5872,0.0,-1.1413,-0.8821,elastic,169
GrandRapids,organic,-3.1124,0.202,0.587,0.0,-3.5112,-2.7136,elastic,169
HarrisburgScranton,conventional,-0.4097,0.1067,0.0811,0.000175,-0.6204,-0.199,inelastic,169
HarrisburgScranton,organic,-2.5598,0.4426,0.1669,0.0,-3.4336,-1.686,elastic,169
HartfordSpringfield,conventional,-0.8067,0.0804,0.3763,0.0,-0.9653,-0.648,inelastic,169
HartfordSpringfield,organic,-1.9316,0.4679,0.0926,5.8e-05,-2.8553,-1.008,elastic,169
Houston,conventional,-0.692,0.0698,0.3707,0.0,-0.8297,-0.5543,inelastic,169
Houston,organic,-1.1312,0.2084,0.1499,0.0,-1.5428,-0.7197,elastic,169
Indianapolis,conventional,-0.7884,0.0716,0.4208,0.0,-0.9297,-0.6471,inelastic,169
Indianapolis,organic,-1.6626,0.2634,0.1927,0.0,-2.1825,-1.1426,elastic,169
Jacksonville,conventional,-0.778,0.0905,0.3066,0.0,-0.9567,-0.5992,inelastic,169
Jacksonville,organic,-0.7116,0.1746,0.0904,7.1e-05,-1.0564,-0.3668,inelastic,169
LasVegas,conventional,-0.8465,0.0741,0.4388,0.0,-0.9927,-0.7002,inelastic,169
LasVegas,organic,-1.5126,0.1005,0.5757,0.0,-1.7109,-1.3142,elastic,169
LosAngeles,conventional,-0.6769,0.0458,0.5665,0.0,-0.7673,-0.5864,inelastic,169
LosAngeles,organic,-0.7271,0.1374,0.1437,0.0,-0.9983,-0.4559,inelastic,169
Louisville,conventional,-0.7728,0.0802,0.3572,0.0,-0.9311,-0.6144,inelastic,169
Louisville,organic,-1.242,0.142,0.3142,0.0,-1.5223,-0.9616,elastic,169
MiamiFtLauderdale,conventional,-0.7997,0.0926,0.3087,0.0,-0.9825,-0.6168,inelastic,169
MiamiFtLauderdale,organic,-0.7033,0.3213,0.0279,0.029983,-1.3377,-0.069,inelastic,169
Nashville,conventional,-0.8127,0.1046,0.2657,0.0,-1.0191,-0.6063,inelastic,169
Nashville,organic,-1.0528,0.101,0.394,0.0,-1.2523,-0.8533,elastic,169
NewOrleansMobile,conventional,-0.5978,0.0737,0.2828,0.0,-0.7432,-0.4523,inelastic,169
NewOrleansMobile,organic,-2.4256,0.2794,0.311,0.0,-2.9772,-1.874,elastic,169
NewYork,conventional,-0.7421,0.0865,0.306,0.0,-0.9129,-0.5714,inelastic,169
NewYork,organic,-2.1519,0.5485,0.0844,0.000127,-3.2348,-1.069,elastic,169
Orlando,conventional,-0.7871,0.0969,0.2832,0.0,-0.9784,-0.5958,inelastic,169
Orlando,organic,-0.7838,0.2046,0.0808,0.00018,-1.1877,-0.3799,inelastic,169
Philadelphia,conventional,-0.6894,0.0816,0.2993,0.0,-0.8506,-0.5283,inelastic,169
Philadelphia,organic,-2.0044,0.4442,0.1087,1.2e-05,-2.8815,-1.1273,elastic,169
PhoenixTucson,conventional,-0.8506,0.0477,0.656,0.0,-0.9447,-0.7565,inelastic,169
PhoenixTucson,organic,-1.5044,0.1172,0.4965,0.0,-1.7359,-1.2729,elastic,169
Pittsburgh,conventional,-1.4077,0.1435,0.3656,0.0,-1.691,-1.1244,elastic,169
Pittsburgh,organic,-2.5079,0.9,0.0444,0.005942,-4.2846,-0.7311,elastic,169
Portland,conventional,-0.9853,0.0641,0.5858,0.0,-1.1119,-0.8588,unit_elastic,169
Portland,organic,-1.2007,0.0753,0.6037,0.0,-1.3494,-1.0521,elastic,169
RaleighGreensboro,conventional,-0.3047,0.1071,0.0462,0.004995,-0.5161,-0.0933,inelastic,169
RaleighGreensboro,organic,0.3907,0.2005,0.0222,0.053058,-0.0052,0.7866,inelastic,169
RichmondNorfolk,conventional,-0.5716,0.1145,0.1298,1e-06,-0.7976,-0.3455,inelastic,169
RichmondNorfolk,organic,-0.8652,0.2174,0.0866,0.000103,-1.2944,-0.436,inelastic,169
Roanoke,conventional,-0.7797,0.1121,0.2246,0.0,-1.001,-0.5583,inelastic,169
Roanoke,organic,-1.0277,0.1028,0.3746,0.0,-1.2305,-0.8248,elastic,169
Sacramento,conventional,-0.662,0.0781,0.3008,0.0,-0.8162,-0.5079,inelastic,169
Sacramento,organic,-1.3137,0.1094,0.4634,0.0,-1.5296,-1.0977,elastic,169
SanDiego,conventional,-0.7213,0.0426,0.6316,0.0,-0.8055,-0.6372,inelastic,169
SanDiego,organic,-0.5083,0.1065,0.1201,4e-06,-0.7185,-0.2981,inelastic,169
SanFrancisco,conventional,-0.8157,0.0517,0.5981,0.0,-0.9179,-0.7136,inelastic,169
SanFrancisco,organic,-0.7567,0.0822,0.3367,0.0,-0.919,-0.5945,inelastic,169
Seattle,conventional,-0.9772,0.0566,0.6413,0.0,-1.0888,-0.8655,unit_elastic,169
Seattle,organic,-1.1834,0.0847,0.5392,0.0,-1.3505,-1.0162,elastic,169
Spokane,conventional,-0.9623,0.069,0.5382,0.0,-1.0985,-0.8262,unit_elastic,169
Spokane,organic,-0.8601,0.1046,0.2883,0.0,-1.0666,-0.6537,inelastic,169
StLouis,conventional,-0.7915,0.0859,0.337,0.0,-0.9611,-0.6219,inelastic,169
StLouis,organic,-0.8915,0.0896,0.3723,0.0,-1.0683,-0.7146,inelastic,169
Syracuse,conventional,-0.4351,0.1995,0.0277,0.030576,-0.8289,-0.0413,inelastic,169
Syracuse,organic,-1.9755,0.2725,0.2393,0.0,-2.5136,-1.4374,elastic,169
Tampa,conventional,-0.7692,0.0888,0.3101,0.0,-0.9444,-0.5939,inelastic,169
Tampa,organic,-0.5366,0.2745,0.0224,0.052243,-1.0785,0.0053,inelastic,169
